0.005,61.7
0.01,48.2
0.015,49.8
0.02,53.4
0.025,49.3
0.03,49.1
0.035,49.3
0.04,48.6
0.045,48.2
0.05,48.1
0.055,52.0
0.06,55.2
0.065,48.1
0.07,47.9
0.075,47.6
0.08,47.9
0.085,47.6
0.09,48.3
0.095,48.0
0.1,48.3
0.105,48.2
0.11,47.9
0.115,48.2
0.12,48.0
0.125,47.5
0.13,48.7
0.135,47.8
0.14,47.9
0.145,47.9
0.15,48.4
0.155,48.2
0.16,48.0
0.165,47.6
0.17,52.1
0.175,48.2
0.18,48.0
0.185,48.2
0.19,47.9
0.195,48.0
0.2,47.8
0.205,47.9
0.21,48.4
0.215,48.1
0.22,48.2
0.225,48.1
0.23,48.2
0.235,48.1
0.24,48.0
0.245,47.9
0.25,48.4
